               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.081636,             0.20801,                   0,             0.39243,             0.43867,             0.41049,             0.15965,            0.062487,             0.22136,                   0,            0.070171,           0.0033143,           0.0033143
                   1,            0.061807,             0.19933,                   0,             0.71762,             0.61384,             0.68621,             0.28094,            0.054787,             0.24129,                   0,            0.040128,           0.0066037,           0.0066037
                   2,            0.057695,             0.19637,                   0,             0.65777,              0.5851,             0.61984,             0.23266,            0.053188,             0.23088,                   0,             0.01004,           0.0098492,           0.0098492
                   3,            0.054793,             0.19726,                   0,             0.74611,             0.67074,             0.74031,             0.32733,            0.049302,             0.22226,                   0,            0.009802,            0.009802,            0.009802
                   4,            0.052039,             0.19423,                   0,             0.75504,             0.66194,             0.73926,             0.32946,             0.04842,             0.20873,                   0,            0.009802,            0.009802,            0.009802
                   5,            0.049976,             0.18807,                   0,             0.76687,             0.67707,             0.75963,             0.33608,            0.048284,             0.20768,                   0,            0.009736,            0.009736,            0.009736
                   6,            0.049144,             0.18971,                   0,             0.76431,             0.68575,             0.76426,              0.3506,            0.047052,             0.20596,                   0,             0.00967,             0.00967,             0.00967
                   7,            0.048005,             0.18774,                   0,             0.77066,             0.69703,             0.77192,             0.35423,            0.046714,             0.20748,                   0,            0.009604,            0.009604,            0.009604
                   8,            0.047723,             0.18274,                   0,             0.77256,             0.69999,             0.77587,             0.35615,            0.046556,             0.20687,                   0,            0.009538,            0.009538,            0.009538
                   9,            0.047482,             0.18027,                   0,             0.77481,             0.69182,             0.77032,             0.35616,             0.04661,             0.20342,                   0,            0.009472,            0.009472,            0.009472
                  10,            0.047522,             0.18443,                   0,             0.78134,             0.71152,             0.78464,              0.3623,            0.046304,             0.20526,                   0,            0.009406,            0.009406,            0.009406
                  11,            0.046696,             0.18276,                   0,             0.78631,             0.70652,             0.78609,             0.36897,            0.045912,             0.20559,                   0,             0.00934,             0.00934,             0.00934
                  12,            0.046421,              0.1795,                   0,             0.77795,             0.70882,             0.78406,              0.3579,            0.046485,             0.20377,                   0,            0.009274,            0.009274,            0.009274
                  13,            0.046324,             0.18205,                   0,             0.77957,             0.70757,             0.78629,             0.36933,            0.045925,             0.20318,                   0,            0.009208,            0.009208,            0.009208
                  14,            0.046655,             0.18089,                   0,             0.79172,             0.71423,             0.79514,             0.37654,             0.04553,             0.20156,                   0,            0.009142,            0.009142,            0.009142
                  15,             0.04607,             0.17851,                   0,             0.79827,             0.71395,             0.79535,             0.37899,            0.045382,             0.20045,                   0,            0.009076,            0.009076,            0.009076
                  16,            0.045716,             0.17881,                   0,             0.78481,              0.7202,             0.79109,             0.37696,            0.045481,              0.2008,                   0,             0.00901,             0.00901,             0.00901
                  17,            0.045725,             0.18113,                   0,             0.79223,             0.72436,             0.79925,             0.38357,            0.045233,             0.20042,                   0,            0.008944,            0.008944,            0.008944
                  18,            0.045313,             0.17629,                   0,             0.79162,             0.73062,             0.80296,             0.38566,            0.045061,             0.20066,                   0,            0.008878,            0.008878,            0.008878
                  19,             0.04499,             0.17659,                   0,             0.79465,             0.73147,             0.80165,             0.38547,            0.045049,             0.20035,                   0,            0.008812,            0.008812,            0.008812
                  20,            0.045433,             0.17493,                   0,             0.79334,             0.72867,             0.80144,             0.38555,            0.044965,             0.20036,                   0,            0.008746,            0.008746,            0.008746
                  21,            0.044795,              0.1763,                   0,              0.7922,             0.73861,             0.80726,              0.3872,            0.044889,             0.19967,                   0,             0.00868,             0.00868,             0.00868
                  22,            0.044774,             0.17252,                   0,             0.79866,             0.73147,              0.8035,             0.38731,            0.045082,             0.19896,                   0,            0.008614,            0.008614,            0.008614
