               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.083525,             0.20317,                   0,             0.34225,             0.40482,             0.31679,             0.10837,            0.065961,             0.22933,                   0,            0.070171,           0.0033143,           0.0033143
                   1,            0.063249,             0.20199,                   0,             0.71963,              0.5892,             0.66681,             0.24629,            0.055934,             0.23403,                   0,            0.040128,           0.0066037,           0.0066037
                   2,            0.059001,             0.19878,                   0,             0.69936,              0.5962,             0.65815,             0.26586,            0.053837,             0.23477,                   0,             0.01004,           0.0098492,           0.0098492
                   3,            0.055197,             0.20024,                   0,             0.73538,             0.65531,             0.72795,             0.31561,            0.050058,             0.22147,                   0,            0.009802,            0.009802,            0.009802
                   4,            0.052823,             0.19686,                   0,             0.74441,             0.65837,             0.73597,             0.32637,            0.048665,             0.20895,                   0,            0.009802,            0.009802,            0.009802
                   5,            0.050913,             0.19101,                   0,             0.75851,              0.6634,             0.74693,             0.32231,            0.049312,             0.20779,                   0,            0.009736,            0.009736,            0.009736
                   6,             0.05003,             0.19313,                   0,             0.76167,             0.67209,             0.75508,             0.34217,            0.047807,             0.20858,                   0,             0.00967,             0.00967,             0.00967
                   7,            0.048903,             0.19129,                   0,             0.75719,             0.68287,             0.75737,             0.34335,            0.047602,             0.20675,                   0,            0.009604,            0.009604,            0.009604
                   8,            0.048905,             0.18609,                   0,              0.7729,             0.67985,             0.76217,             0.34384,            0.047491,              0.2068,                   0,            0.009538,            0.009538,            0.009538
                   9,            0.048604,             0.18391,                   0,             0.75786,             0.67909,             0.75854,             0.34722,            0.047273,             0.20614,                   0,            0.009472,            0.009472,            0.009472
                  10,            0.048766,             0.18824,                   0,             0.77135,             0.69721,             0.77113,             0.35179,            0.047324,             0.20916,                   0,            0.009406,            0.009406,            0.009406
                  11,            0.047785,             0.18678,                   0,             0.77417,             0.70015,             0.77457,             0.35956,            0.046653,             0.20752,                   0,             0.00934,             0.00934,             0.00934
                  12,            0.047605,             0.18339,                   0,             0.76011,             0.69707,             0.76884,              0.3489,            0.046873,             0.20541,                   0,            0.009274,            0.009274,            0.009274
                  13,            0.047465,             0.18638,                   0,             0.76403,             0.70591,              0.7789,             0.36332,            0.046331,               0.204,                   0,            0.009208,            0.009208,            0.009208
                  14,            0.047885,             0.18524,                   0,             0.77546,             0.70658,             0.78344,             0.36871,            0.046041,             0.20357,                   0,            0.009142,            0.009142,            0.009142
                  15,            0.047331,             0.18306,                   0,             0.77208,             0.70948,             0.78746,             0.36927,            0.045991,             0.20346,                   0,            0.009076,            0.009076,            0.009076
                  16,            0.046942,             0.18333,                   0,             0.76914,             0.70944,             0.77714,             0.36328,            0.046231,             0.20457,                   0,             0.00901,             0.00901,             0.00901
                  17,            0.047039,             0.18587,                   0,             0.78526,             0.71217,             0.78888,             0.37135,            0.046015,             0.20313,                   0,            0.008944,            0.008944,            0.008944
                  18,            0.046659,             0.18112,                   0,             0.78126,              0.7068,             0.78581,             0.37072,            0.045942,             0.20311,                   0,            0.008878,            0.008878,            0.008878
                  19,            0.046367,              0.1815,                   0,             0.78215,              0.7131,             0.78841,             0.37169,            0.045995,              0.2021,                   0,            0.008812,            0.008812,            0.008812
                  20,            0.046688,             0.17972,                   0,             0.77947,             0.71268,             0.78727,             0.37368,            0.045754,             0.20271,                   0,            0.008746,            0.008746,            0.008746
                  21,            0.046282,             0.18155,                   0,             0.77816,             0.71238,             0.78477,             0.36924,            0.045945,             0.20302,                   0,             0.00868,             0.00868,             0.00868
                  22,            0.046151,             0.17774,                   0,             0.78375,             0.71911,             0.79366,             0.37536,            0.045814,              0.2007,                   0,            0.008614,            0.008614,            0.008614
                  23,            0.046057,             0.17906,                   0,             0.78547,             0.72253,              0.7952,             0.37722,            0.045674,             0.20188,                   0,            0.008548,            0.008548,            0.008548
                  24,             0.04593,             0.17878,                   0,             0.78079,             0.72509,             0.79238,             0.37793,            0.045589,             0.20289,                   0,            0.008482,            0.008482,            0.008482
                  25,            0.045819,             0.17996,                   0,              0.7844,             0.73259,             0.79941,             0.38004,            0.045556,             0.20219,                   0,            0.008416,            0.008416,            0.008416
