               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.096368,             0.18809,                   0,             0.31009,              0.3291,             0.23931,            0.080439,            0.070503,             0.24297,                   0,            0.070171,           0.0033143,           0.0033143
                   1,            0.070578,             0.20962,                   0,               0.467,             0.45889,             0.41504,             0.15943,            0.061554,             0.22917,                   0,            0.040128,           0.0066037,           0.0066037
                   2,            0.065529,             0.21207,                   0,             0.55682,             0.44213,             0.46713,             0.15408,            0.061098,             0.23003,                   0,             0.01004,           0.0098492,           0.0098492
                   3,            0.062007,             0.21389,                   0,             0.68735,              0.5459,             0.62058,             0.22966,            0.055957,             0.22515,                   0,            0.009802,            0.009802,            0.009802
                   4,            0.058224,             0.21238,                   0,             0.70907,             0.55658,             0.64003,             0.25692,            0.053827,             0.22263,                   0,            0.009802,            0.009802,            0.009802
                   5,            0.057197,             0.20608,                   0,             0.72642,             0.57469,             0.66445,             0.26399,            0.053274,             0.22052,                   0,            0.009736,            0.009736,            0.009736
                   6,            0.056269,             0.20875,                   0,             0.73456,             0.58428,             0.67567,             0.28558,            0.051658,             0.22099,                   0,             0.00967,             0.00967,             0.00967
                   7,            0.055052,             0.20723,                   0,             0.73997,             0.60949,             0.69458,             0.29452,            0.051502,             0.22161,                   0,            0.009604,            0.009604,            0.009604
                   8,            0.055085,             0.20202,                   0,             0.74609,              0.6033,             0.69491,             0.29541,            0.051116,             0.21866,                   0,            0.009538,            0.009538,            0.009538
                   9,            0.054727,             0.19964,                   0,             0.74925,             0.60558,             0.69882,             0.29688,            0.051386,             0.21668,                   0,            0.009472,            0.009472,            0.009472
                  10,            0.054645,             0.20495,                   0,             0.74599,             0.61987,             0.70221,             0.28849,             0.05155,             0.21794,                   0,            0.009406,            0.009406,            0.009406
                  11,            0.053838,             0.20384,                   0,             0.74931,             0.62069,             0.70685,             0.30517,            0.050936,             0.21842,                   0,             0.00934,             0.00934,             0.00934
                  12,            0.053887,             0.20051,                   0,             0.74289,             0.61416,              0.7026,             0.29835,             0.05093,             0.21658,                   0,            0.009274,            0.009274,            0.009274
                  13,            0.053601,              0.2036,                   0,             0.75191,             0.61713,             0.70988,             0.30676,            0.050724,             0.21608,                   0,            0.009208,            0.009208,            0.009208
                  14,            0.054182,             0.20291,                   0,             0.74349,             0.61591,             0.70867,             0.30879,            0.050347,             0.21613,                   0,            0.009142,            0.009142,            0.009142
                  15,            0.053621,             0.20082,                   0,             0.75141,             0.62489,             0.71679,              0.3073,            0.050613,              0.2161,                   0,            0.009076,            0.009076,            0.009076
                  16,            0.053035,             0.20116,                   0,             0.74774,             0.63899,             0.72152,             0.31339,            0.050406,             0.21811,                   0,             0.00901,             0.00901,             0.00901
                  17,            0.053338,              0.2043,                   0,             0.75783,             0.62352,             0.71679,             0.31273,            0.050305,             0.21479,                   0,            0.008944,            0.008944,            0.008944
                  18,            0.053006,             0.19947,                   0,             0.75414,             0.63051,             0.71586,              0.3092,             0.05024,             0.21607,                   0,            0.008878,            0.008878,            0.008878
                  19,            0.052645,             0.20004,                   0,             0.75383,             0.63269,             0.72339,             0.31782,            0.049998,             0.21506,                   0,            0.008812,            0.008812,            0.008812
                  20,            0.052927,             0.19843,                   0,             0.75883,             0.63155,             0.72126,             0.31354,            0.049987,             0.21452,                   0,            0.008746,            0.008746,            0.008746
                  21,            0.052575,             0.20062,                   0,             0.75125,             0.64054,              0.7253,             0.31365,            0.049914,             0.21445,                   0,             0.00868,             0.00868,             0.00868
                  22,            0.052523,             0.19704,                   0,             0.75214,             0.63246,             0.71849,             0.31478,            0.050309,             0.21364,                   0,            0.008614,            0.008614,            0.008614
                  23,            0.052416,             0.19864,                   0,               0.756,             0.64405,               0.731,             0.32178,            0.049769,             0.21453,                   0,            0.008548,            0.008548,            0.008548
                  24,            0.052294,              0.1985,                   0,             0.75937,             0.63273,             0.72171,             0.31931,            0.049806,             0.21417,                   0,            0.008482,            0.008482,            0.008482
                  25,            0.052196,             0.19986,                   0,             0.75265,             0.64715,             0.73034,             0.31994,            0.049786,             0.21339,                   0,            0.008416,            0.008416,            0.008416
                  26,            0.052052,             0.19943,                   0,             0.75255,             0.63844,             0.72602,              0.3198,            0.049661,              0.2148,                   0,             0.00835,             0.00835,             0.00835
                  27,            0.052492,             0.20005,                   0,             0.75272,             0.63903,             0.72806,             0.32499,            0.049385,             0.21394,                   0,            0.008284,            0.008284,            0.008284
                  28,            0.051878,             0.19609,                   0,              0.7546,             0.65235,               0.736,             0.32468,             0.04962,             0.21425,                   0,            0.008218,            0.008218,            0.008218
                  29,            0.052241,             0.19809,                   0,             0.76034,             0.64591,             0.73475,              0.3247,            0.049535,             0.21358,                   0,            0.008152,            0.008152,            0.008152
