               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.089273,             0.20075,                   0,             0.34737,             0.36804,             0.26929,            0.093126,             0.06705,             0.23368,                   0,            0.070171,           0.0033143,           0.0033143
                   1,            0.067718,             0.20813,                   0,             0.57026,             0.48421,             0.48389,             0.16611,            0.058969,             0.23236,                   0,            0.040128,           0.0066037,           0.0066037
                   2,            0.062345,             0.20772,                   0,              0.6109,             0.51296,             0.53913,             0.18855,            0.055676,              0.2345,                   0,             0.01004,           0.0098492,           0.0098492
                   3,             0.05857,             0.20832,                   0,             0.73249,             0.60052,             0.68292,             0.26263,            0.054163,             0.22117,                   0,            0.009802,            0.009802,            0.009802
                   4,            0.055325,             0.20531,                   0,             0.75257,             0.60883,             0.70142,             0.29475,            0.051138,             0.21513,                   0,            0.009802,            0.009802,            0.009802
                   5,            0.054171,             0.19915,                   0,              0.7503,             0.61643,             0.70489,             0.29201,            0.051726,               0.216,                   0,            0.009736,            0.009736,            0.009736
                   6,            0.053301,             0.20166,                   0,             0.75595,             0.63008,             0.72049,             0.31324,            0.050029,              0.2133,                   0,             0.00967,             0.00967,             0.00967
                   7,             0.05211,             0.19993,                   0,             0.75458,             0.63538,             0.72489,             0.31502,            0.049756,             0.21416,                   0,            0.009604,            0.009604,            0.009604
                   8,            0.052104,             0.19472,                   0,             0.76322,              0.6477,             0.73383,             0.31809,            0.049516,             0.21345,                   0,            0.009538,            0.009538,            0.009538
                   9,            0.051824,             0.19233,                   0,             0.76016,              0.6388,             0.72971,              0.3215,            0.049499,             0.21097,                   0,            0.009472,            0.009472,            0.009472
                  10,            0.051919,             0.19728,                   0,             0.76207,             0.65705,             0.73959,             0.32569,            0.049425,             0.21537,                   0,            0.009406,            0.009406,            0.009406
                  11,            0.050943,             0.19596,                   0,             0.76633,             0.65956,             0.74241,             0.33229,            0.048809,             0.21342,                   0,             0.00934,             0.00934,             0.00934
                  12,            0.050864,             0.19278,                   0,             0.75958,             0.65203,             0.73666,             0.32311,            0.049204,              0.2111,                   0,            0.009274,            0.009274,            0.009274
                  13,            0.050689,             0.19575,                   0,             0.76966,               0.656,             0.74607,             0.33437,            0.048635,             0.21119,                   0,            0.009208,            0.009208,            0.009208
                  14,            0.051068,             0.19475,                   0,             0.76389,             0.65966,             0.74662,             0.33544,            0.048674,             0.21221,                   0,            0.009142,            0.009142,            0.009142
                  15,            0.050543,             0.19282,                   0,             0.76992,              0.6654,             0.75299,             0.33904,            0.048501,             0.21042,                   0,            0.009076,            0.009076,            0.009076
                  16,            0.050144,             0.19304,                   0,              0.7653,             0.67508,             0.75521,             0.34065,            0.048284,             0.21296,                   0,             0.00901,             0.00901,             0.00901
                  17,            0.050246,             0.19622,                   0,              0.7744,             0.66905,             0.75364,              0.3432,            0.048328,                0.21,                   0,            0.008944,            0.008944,            0.008944
                  18,            0.049827,             0.19101,                   0,              0.7692,              0.6639,             0.75032,             0.34042,            0.048269,             0.20984,                   0,            0.008878,            0.008878,            0.008878
                  19,            0.049627,             0.19171,                   0,             0.77344,             0.67494,             0.75787,             0.34563,            0.048045,             0.20902,                   0,            0.008812,            0.008812,            0.008812
                  20,            0.049869,              0.1898,                   0,             0.76748,             0.67462,             0.75697,             0.34655,            0.047898,             0.20953,                   0,            0.008746,            0.008746,            0.008746
                  21,            0.049451,             0.19206,                   0,             0.76604,               0.675,             0.75593,             0.34332,             0.04809,             0.20837,                   0,             0.00868,             0.00868,             0.00868
                  22,            0.049395,              0.1882,                   0,             0.77135,             0.67727,             0.75711,              0.3452,            0.048202,             0.20849,                   0,            0.008614,            0.008614,            0.008614
                  23,            0.049305,             0.18995,                   0,             0.77492,             0.67435,             0.75763,             0.34712,            0.047982,             0.20805,                   0,            0.008548,            0.008548,            0.008548
                  24,            0.049222,             0.18968,                   0,             0.77261,             0.67955,             0.75738,             0.34844,            0.047826,             0.20917,                   0,            0.008482,            0.008482,            0.008482
                  25,            0.049069,             0.19088,                   0,             0.77559,             0.69397,             0.76951,             0.35334,            0.047668,             0.20811,                   0,            0.008416,            0.008416,            0.008416
                  26,            0.048895,             0.19023,                   0,             0.77068,             0.68697,             0.76627,             0.35582,            0.047628,             0.20911,                   0,             0.00835,             0.00835,             0.00835
                  27,            0.049257,             0.19072,                   0,             0.76894,             0.69014,             0.76766,             0.35554,            0.047593,             0.20735,                   0,            0.008284,            0.008284,            0.008284
                  28,            0.048729,             0.18708,                   0,             0.77428,             0.69258,             0.76797,             0.35598,            0.047676,             0.20861,                   0,            0.008218,            0.008218,            0.008218
                  29,            0.049059,             0.18891,                   0,             0.78079,             0.68569,             0.76763,             0.35781,            0.047565,             0.20846,                   0,            0.008152,            0.008152,            0.008152
                  30,            0.048726,             0.18834,                   0,              0.7787,             0.68617,             0.76967,             0.35746,             0.04742,             0.20672,                   0,            0.008086,            0.008086,            0.008086
