               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              0.0798,             0.20698,                   0,             0.28342,             0.47363,             0.30299,             0.10624,             0.06363,             0.21923,                   0,            0.070171,           0.0033143,           0.0033143
                   1,            0.060971,              0.1964,                   0,             0.60857,             0.61641,             0.64299,             0.25584,            0.052137,             0.22801,                   0,            0.040128,           0.0066037,           0.0066037
                   2,            0.056642,             0.19438,                   0,             0.71625,             0.64423,             0.69503,             0.28919,            0.050291,             0.22598,                   0,             0.01004,           0.0098492,           0.0098492
                   3,            0.053673,             0.19551,                   0,             0.75007,             0.66746,             0.74054,             0.32266,            0.049411,             0.22378,                   0,            0.009802,            0.009802,            0.009802
                   4,            0.050969,             0.19266,                   0,             0.75763,             0.66787,             0.74566,             0.33274,            0.047894,             0.20779,                   0,            0.009802,            0.009802,            0.009802
                   5,            0.049301,             0.18626,                   0,             0.76793,             0.68277,             0.76214,              0.3342,            0.047641,             0.20531,                   0,            0.009736,            0.009736,            0.009736
                   6,            0.048538,              0.1881,                   0,             0.77292,             0.69779,              0.7759,             0.35969,            0.046484,             0.20716,                   0,             0.00967,             0.00967,             0.00967
                   7,             0.04727,             0.18583,                   0,             0.77171,             0.70305,             0.77861,             0.36272,            0.046354,             0.20649,                   0,            0.009604,            0.009604,            0.009604
                   8,             0.04723,             0.18079,                   0,             0.77664,             0.70681,             0.77883,             0.36179,            0.046176,             0.20388,                   0,            0.009538,            0.009538,            0.009538
                   9,            0.046825,              0.1784,                   0,             0.77013,              0.7004,             0.77923,             0.36942,            0.045675,             0.20209,                   0,            0.009472,            0.009472,            0.009472
                  10,             0.04659,             0.18258,                   0,             0.77993,             0.71464,             0.78592,             0.36894,            0.045899,             0.20383,                   0,            0.009406,            0.009406,            0.009406
                  11,            0.046115,             0.18085,                   0,             0.78719,             0.71479,             0.78965,              0.3749,            0.045365,             0.20185,                   0,             0.00934,             0.00934,             0.00934
                  12,            0.045842,             0.17724,                   0,             0.78163,             0.71632,             0.78953,             0.36925,            0.045668,             0.20065,                   0,            0.009274,            0.009274,            0.009274
                  13,            0.045757,             0.17997,                   0,             0.78001,             0.72258,             0.79511,             0.37824,            0.045231,              0.2013,                   0,            0.009208,            0.009208,            0.009208
                  14,            0.045991,             0.17849,                   0,              0.7861,             0.72643,             0.79677,             0.37747,            0.045074,             0.19989,                   0,            0.009142,            0.009142,            0.009142
                  15,            0.045349,             0.17602,                   0,             0.79707,             0.71893,             0.80033,             0.38358,            0.044842,             0.19863,                   0,            0.009076,            0.009076,            0.009076
                  16,            0.045119,             0.17642,                   0,             0.79249,             0.72951,             0.79761,             0.38316,            0.044866,             0.20008,                   0,             0.00901,             0.00901,             0.00901
                  17,            0.045032,             0.17866,                   0,             0.79816,             0.73077,             0.80197,             0.38651,            0.044801,             0.19881,                   0,            0.008944,            0.008944,            0.008944
                  18,             0.04468,             0.17391,                   0,             0.80129,              0.7336,             0.80848,             0.39112,            0.044792,             0.19704,                   0,            0.008878,            0.008878,            0.008878
                  19,            0.044262,             0.17412,                   0,             0.79227,              0.7349,             0.80327,             0.38873,            0.044692,             0.19798,                   0,            0.008812,            0.008812,            0.008812
                  20,            0.044685,             0.17214,                   0,             0.79412,             0.75018,             0.81122,              0.3929,            0.044546,             0.19885,                   0,            0.008746,            0.008746,            0.008746
                  21,            0.044131,              0.1734,                   0,              0.8016,             0.74478,             0.81075,             0.39296,            0.044373,             0.19752,                   0,             0.00868,             0.00868,             0.00868
                  22,            0.044032,              0.1698,                   0,             0.80323,             0.74279,             0.81056,             0.39406,            0.044609,             0.19667,                   0,            0.008614,            0.008614,            0.008614
                  23,               0.044,             0.17109,                   0,             0.80646,             0.74425,             0.81088,             0.39577,             0.04454,             0.19695,                   0,            0.008548,            0.008548,            0.008548
                  24,              0.0437,              0.1705,                   0,             0.81119,             0.75406,             0.81871,             0.40075,            0.044283,             0.19592,                   0,            0.008482,            0.008482,            0.008482
                  25,            0.043481,             0.17115,                   0,                0.81,             0.75283,             0.81878,             0.40229,            0.044344,             0.19618,                   0,            0.008416,            0.008416,            0.008416
                  26,            0.043362,             0.17011,                   0,             0.81881,             0.74512,             0.81714,             0.40182,            0.044323,             0.19583,                   0,             0.00835,             0.00835,             0.00835
